time,x,y,z
2.070,-0.03,-0.09,1.16
2.071,-0.03,-0.08,1.12
2.089,-0.03,-0.07,1.08
2.090,-0.03,-0.07,1.06
2.091,-0.02,-0.06,1.02
2.091,-0.01,-0.04,0.98
2.110,-0.01,-0.03,0.95
2.111,-0.01,-0.02,0.91
2.111,0.01,-0.01,0.89
2.112,0.01,0.00,0.87
2.129,0.02,0.00,0.85
2.130,0.02,0.02,0.83
2.131,0.03,0.04,0.80
2.131,0.03,0.04,0.81
2.151,0.02,0.06,0.81
2.152,0.02,0.06,0.82
2.152,0.02,0.07,0.81
2.153,0.01,0.08,0.81
2.170,0.00,0.08,0.84
2.171,-0.01,0.09,0.87
2.172,-0.01,0.09,0.90
2.172,-0.01,0.08,0.91
2.189,-0.01,0.07,0.95
2.191,-0.00,0.07,0.98
2.191,-0.01,0.07,1.00
2.192,-0.00,0.07,1.01
2.210,-0.00,0.07,1.02
2.211,-0.00,0.06,1.04
2.212,0.01,0.05,1.04
2.212,0.03,0.05,1.03
2.230,0.03,0.04,1.04
2.231,0.04,0.03,1.03
2.232,0.04,0.02,1.02
2.232,0.04,0.02,1.02
2.250,0.04,0.02,1.01
2.251,0.05,0.03,1.00
2.251,0.05,0.02,0.99
2.252,0.03,0.03,0.98
2.270,0.01,0.03,0.98
2.270,0.02,0.05,0.99
2.271,0.01,0.05,0.99
2.271,0.01,0.05,0.98
2.292,0.01,0.05,1.00
2.293,-0.01,0.05,1.00
2.293,-0.03,0.05,1.02
2.294,-0.05,0.07,1.04
2.310,-0.07,0.07,1.06
2.311,-0.08,0.08,1.09
2.312,-0.10,0.07,1.11
2.312,-0.10,0.06,1.13
2.331,-0.08,0.04,1.16
2.332,-0.08,0.02,1.16
2.332,-0.07,-0.01,1.18
2.332,-0.05,-0.03,1.19
2.350,-0.06,-0.02,1.19
2.351,-0.05,-0.03,1.20
2.351,-0.06,-0.03,1.21
2.351,-0.05,-0.04,1.22
2.370,-0.05,-0.04,1.20
2.371,-0.03,-0.03,1.19
2.371,-0.04,-0.02,1.17
2.372,-0.04,-0.00,1.15
2.390,-0.05,0.03,1.12
2.391,-0.06,0.05,1.10
2.392,-0.08,0.06,1.09
2.392,-0.09,0.06,1.10
2.411,-0.09,0.05,1.11
2.412,-0.09,0.03,1.13
2.412,-0.07,0.00,1.14
2.413,-0.05,-0.02,1.17
2.436,-0.04,-0.04,1.20
2.437,-0.02,-0.06,1.21
2.438,-0.01,-0.08,1.23
2.438,0.01,-0.11,1.26
2.452,0.01,-0.14,1.29
2.453,0.04,-0.17,1.33
2.454,0.07,-0.21,1.36
2.454,0.08,-0.23,1.39
2.471,0.09,-0.26,1.39
2.472,0.11,-0.26,1.37
2.472,0.14,-0.26,1.31
2.473,0.15,-0.25,1.24
2.491,0.15,-0.22,1.14
2.492,0.15,-0.19,1.03
2.492,0.14,-0.17,0.93
2.493,0.13,-0.14,0.86
2.511,0.10,-0.12,0.80
2.512,0.09,-0.09,0.73
2.513,0.08,-0.07,0.64
2.513,0.07,-0.04,0.57
2.531,0.05,-0.04,0.51
2.532,0.03,-0.03,0.49
2.532,0.02,-0.02,0.49
2.532,0.01,-0.02,0.51
2.553,0.00,-0.02,0.58
2.554,0.00,-0.03,0.65
2.554,0.01,-0.04,0.75
2.555,-0.01,-0.04,0.83
2.571,0.01,-0.06,0.92
2.572,0.00,-0.08,1.01
2.573,0.03,-0.11,1.06
2.573,0.07,-0.13,1.09
2.591,0.09,-0.15,1.12
2.592,0.10,-0.17,1.14
2.592,0.11,-0.17,1.15
2.593,0.10,-0.16,1.16
2.611,0.09,-0.14,1.16
2.612,0.06,-0.12,1.13
2.612,0.04,-0.10,1.11
2.613,0.00,-0.09,1.09
2.632,-0.01,-0.06,1.04
2.633,-0.02,-0.06,1.02
2.633,-0.03,-0.05,0.99
2.634,-0.04,-0.04,0.95
2.651,-0.03,-0.04,0.92
2.652,-0.01,-0.03,0.90
2.653,0.02,-0.02,0.89
2.653,0.04,-0.02,0.87
2.671,0.05,-0.01,0.88
2.672,0.07,-0.01,0.85
2.672,0.07,0.00,0.86
2.673,0.08,0.01,0.85
2.691,0.07,0.02,0.84
2.692,0.06,0.03,0.82
2.693,0.07,0.04,0.80
2.693,0.08,0.05,0.79
2.712,0.07,0.06,0.80
2.713,0.07,0.07,0.79
2.713,0.07,0.07,0.79
2.714,0.06,0.07,0.77
2.732,0.05,0.08,0.76
2.733,0.04,0.09,0.75
2.733,0.02,0.09,0.77
2.734,0.01,0.09,0.80
2.752,0.01,0.09,0.83
2.753,0.02,0.08,0.85
2.753,0.01,0.07,0.90
2.753,0.02,0.06,0.94
2.771,0.04,0.04,0.99
2.772,0.04,0.03,1.03
2.773,0.05,0.01,1.06
2.773,0.05,0.00,1.08
2.792,0.07,-0.00,1.12
2.792,0.09,-0.02,1.14
2.793,0.09,-0.03,1.17
2.794,0.09,-0.03,1.20
2.818,0.09,-0.03,1.20
2.819,0.09,-0.01,1.19
2.819,0.08,0.00,1.16
2.819,0.07,0.01,1.14
2.836,0.06,0.03,1.10
2.837,0.06,0.03,1.08
2.837,0.06,0.04,1.06
2.838,0.05,0.04,1.05
2.852,0.06,0.05,1.05
2.853,0.04,0.07,1.03
2.854,0.04,0.08,1.01
2.854,0.03,0.10,1.01
2.872,0.02,0.10,1.02
2.873,0.01,0.10,1.02
2.874,0.00,0.11,1.05
2.874,-0.00,0.10,1.08
2.892,-0.02,0.09,1.11
2.893,-0.02,0.06,1.14
2.894,-0.00,0.06,1.16
2.894,0.01,0.05,1.18
2.912,0.02,0.04,1.19
2.913,0.03,0.04,1.20
2.914,0.04,0.03,1.21
2.914,0.06,0.03,1.20
2.932,0.08,0.01,1.20
2.933,0.09,0.01,1.18
2.934,0.10,0.01,1.14
2.934,0.10,0.02,1.10
2.952,0.09,0.04,1.06
2.953,0.07,0.06,1.01
2.954,0.05,0.07,0.98
2.955,0.04,0.07,0.97
2.974,0.02,0.05,0.97
2.975,0.02,0.03,1.02
2.975,0.01,0.02,1.06
2.975,0.01,-0.01,1.11
2.993,-0.01,-0.03,1.17
2.994,-0.03,-0.05,1.24
2.994,-0.03,-0.08,1.29
2.995,-0.02,-0.10,1.36
3.013,-0.02,-0.12,1.43
3.014,-0.02,-0.13,1.48
3.014,0.01,-0.13,1.51
3.015,0.03,-0.14,1.53
3.033,0.02,-0.14,1.53
3.034,0.03,-0.15,1.49
3.035,0.05,-0.15,1.42
3.035,0.06,-0.16,1.34
3.053,0.05,-0.14,1.23
3.055,0.05,-0.13,1.12
3.056,0.05,-0.13,1.02
